token_id	token	etiqueta_H1	etiqueta_H2
0	*	O	O
1	*	O	O
2	*	O	O
3	 	O	O
4	S	B-ENT	O
5	T	I-ENT	O
6	A	I-ENT	O
7	R	I-ENT	O
8	T	I-ENT	O
9	 	O	O
10	O	B-ENT	O
11	F	I-ENT	O
12	 	O	O
13	T	B-ENT	O
14	H	I-ENT	O
15	E	I-ENT	O
16	 	O	O
17	P	B-ENT	O
18	R	I-ENT	O
19	O	I-ENT	O
20	J	I-ENT	O
21	E	I-ENT	O
22	C	I-ENT	O
23	T	I-ENT	O
24	 	O	O
25	G	B-ENT	O
26	U	I-ENT	O
27	T	I-ENT	O
28	E	I-ENT	O
29	N	I-ENT	O
30	B	I-ENT	O
31	E	I-ENT	O
32	R	I-ENT	O
33	G	I-ENT	O
34	 	O	O
35	E	B-ENT	O
36	B	I-ENT	O
37	O	I-ENT	O
38	O	I-ENT	O
39	K	I-ENT	O
40	 	O	O
41	1	O	O
42	1	O	O
43	 	O	O
44	*	O	O
45	*	O	O
46	*	O	O
47	\n\n	O	O
48	[	O	O
49	I	B-ENT	O
50	ll	O	O
51	u	O	O
52	st	O	O
53	r	O	O
54	at	O	O
55	i	O	O
56	on	O	O
57	]	O	O
58	\n\n	O	O
59	\n\n	O	O
60	\n	O	O
61	Alice	O	O
62	’s 	O	O
63	A	B-ENT	O
64	d	O	O
65	v	O	O
66	ent	O	O
67	ur	O	O
68	es 	O	O
69	in 	O	O
70	W	B-ENT	O
71	on	O	O
72	der	O	O
73	l	O	O
74	an	O	O
75	d	O	O
76	\n\n	O	O
77	b	O	O
78	y 	O	O
79	L	B-ENT	O
80	e	O	O
81	w	O	O
82	is 	O	O
83	C	B-ENT	O
84	ar	O	O
85	ro	O	O
86	ll	O	O
87	\n\n	O	O
88	T	O	O
89	H	B-ENT	O
90	E	I-ENT	O
91	 	O	O
92	M	B-ENT	O
93	I	I-ENT	O
94	L	I-ENT	O
95	L	I-ENT	O
96	E	I-ENT	O
97	N	I-ENT	O
98	N	I-ENT	O
99	I	I-ENT	O
100	U	I-ENT	O
101	M	I-ENT	O
102	 	O	O
103	F	B-ENT	O
104	U	I-ENT	O
105	L	I-ENT	O
106	C	I-ENT	O
107	R	I-ENT	O
108	U	I-ENT	O
109	M	I-ENT	O
110	 	O	O
111	E	B-ENT	O
112	D	I-ENT	O
113	I	I-ENT	O
114	T	I-ENT	O
115	I	I-ENT	O
116	O	I-ENT	O
117	N	I-ENT	O
118	 	O	O
119	3	O	O
120	.	O	O
121	0	O	O
122	\n\n	O	O
123	C	O	O
